SerialNo,ObserveDate,County,Township,Location,WGS84Lon,WGS84Lat,Family,ScienceName,CommonName
4662,2013-12-31,台東縣,池上鄉,,121.211557,23.133486,Turdidae 鶇科,Zoothera dauma,虎鶇
4661,2013-12-31,台東縣,池上鄉,,121.20525,23.126778,Turnicidae 三趾鶉科,Turnix suscitator,棕三趾鶉
4660,2013-12-30,嘉義縣,新港鄉,,120.362678,23.543766,Colubridae 黃頷蛇科,Xenochrophis piscator,草花蛇
4659,2013-12-30,嘉義縣,新港鄉,,120.358182,23.53458,Colubridae 黃頷蛇科,Xenochrophis piscator,草花蛇
4658,2013-12-30,,,久安國小,120.512829,23.676921,Columbidae 鳩鴿科,Streptopelia tranquebarica,紅鳩
4657,2013-12-30,嘉義縣,溪口鄉,,120.397661,23.564066,Muridae 鼠科,Rattus sp.,
4656,2013-12-30,嘉義縣,新港鄉,,120.362678,23.543766,Muridae 鼠科,Rattus sp.,
4655,2013-12-30,嘉義縣,新港鄉,,120.362163,23.537235,Muridae 鼠科,Rattus sp.,
4654,2013-12-30,嘉義縣,新港鄉,,120.35908,23.526572,Muridae 鼠科,Rattus sp.,
4653,2013-12-30,嘉義縣,新港鄉,,120.362857,23.550809,Muridae 鼠科,Rattus norvegicus,溝鼠
4652,2013-12-30,嘉義縣,新港鄉,,120.35908,23.526572,Muridae 鼠科,Rattus norvegicus,溝鼠
4651,2013-12-30,屏東縣,滿州鄉,片埔路,120.866911,22.110747,Colubridae 黃頷蛇科,Ptyas mucosus,南蛇
4650,2013-12-30,嘉義縣,溪口鄉,,120.397661,23.564066,Hirundinidae 燕科,Hirundo sp.,燕屬
4649,2013-12-30,嘉義縣,溪口鄉,,120.397661,23.564066,Hirundinidae 燕科,Hirundo sp.,燕屬
4648,2013-12-30,嘉義縣,溪口鄉,,120.397661,23.564066,Hirundinidae 燕科,Hirundo rustica,家燕
4647,2013-12-30,,,,120.401009,23.565325,Scincidae 石龍子科,Eutropis multifasciata,多線真稜蜥
4646,2013-12-30,,,,121.564916,25.106663,Soricidae 尖鼠科,Crocidura sp.,麝鼩屬
4645,2013-12-29,台南市,六甲區,,120.467831,23.220544,Viperidae 蝮蛇科,Protobothrops mucrosquamatus,龜殼花
4644,2013-12-29,新北市,三峽區,台3線 88K,121.796419,24.69648,Strigidae 鴟鴞科,Otus lettia,領角鴞
4643,2013-12-29,嘉義縣,民雄鄉,,120.424998,23.537235,Rallidae 秧雞科,Gallinula chloropus,紅冠水雞
4642,2013-12-29,台南市,官田區,,120.331232,23.192934,Scincidae 石龍子科,Eutropis multifasciata,多線真稜蜥
4641,2013-12-29,台南市,東山區,縣道174 41.5K,,,Sciuridae 松鼠科,Callosciurus erythraeus thaiwanensis,赤腹松鼠
4640,2013-12-29,台南市,東山區,縣道174 43K,,,Elapidae 蝙蝠蛇科,Bungarus multicincintus multicincintus,雨傘節
4639,2013-12-29,屏東縣,里港鄉,塔樓村,,,Rallidae 秧雞科,Amaurornis phoenicurus,白腹秧雞
4638,2013-12-28,嘉義縣,民雄鄉,,120.447314,23.56324,Muridae 鼠科,,鼠科
4637,2013-12-28,嘉義縣,民雄鄉,,120.447314,23.56324,Muridae 鼠科,,鼠科
4636,2013-12-28,嘉義縣,民雄鄉,,120.447314,23.56324,Passeridae 麻雀科,Passer montanus,麻雀
4635,2013-12-28,嘉義縣,民雄鄉,,120.445665,23.561607,Passeridae 麻雀科,Passer montanus,麻雀
4634,2013-12-28,嘉義縣,民雄鄉,,120.418802,23.557988,Sylviidae 鶯科,Paradoxornis webbianus,粉紅鸚嘴
4633,2013-12-28,南投縣,,台21線 陳有蘭溪橋,,,Mustelidae 貂科,Melogale moschata subaurantiaca,鼬獾
4632,2013-12-28,嘉義縣,民雄鄉,,120.415134,23.560447,Hirundinidae 燕科,Hirundo rustica,家燕
4631,2013-12-28,嘉義縣,,,120.449503,23.583261,Scincidae 石龍子科,Eutropis multifasciata,多線真稜蜥
4630,2013-12-28,嘉義縣,,,120.449503,23.583261,Muridae 鼠科,Bandicota indica,鬼鼠
4629,2013-12-28,嘉義縣,民雄鄉,,120.445665,23.561607,Muridae 鼠科,Bandicota indica,鬼鼠
4628,2013-12-28,,,台7甲 46.5K,,,Muridae 鼠科,Apodemus semotus,森鼠
4627,2013-12-28,嘉義縣,民雄鄉,,120.449074,23.564853,Sturnidae 椋鳥科,Acridotheres cristatus,八哥
4626,2013-12-27,屏東縣,萬巒鄉,,120.576256,22.58974,Muridae 鼠科,,鼠科
4625,2013-12-27,嘉義縣,民雄鄉,,120.41654,23.564892,Soricidae 尖鼠科,Suncus murinus,臭鼩
4624,2013-12-27,嘉義縣,民雄鄉,,120.408062,23.563377,Soricidae 尖鼠科,Suncus murinus,臭鼩
