"","ObserveDate","WGS84Lon","WGS84Lat","engCounty","FamilyCommon","date"
"1","2013-12-31",121.211557,23.133486,"Taitung County","Perching Birds","2013-12-31"
"2","2013-12-31",121.20525,23.126778,"Taitung County","Buttonquails","2013-12-31"
"3","2013-12-30",120.362678,23.543766,"Chiayi County","Typical Snakes","2013-12-30"
"4","2013-12-30",120.358182,23.53458,"Chiayi County","Typical Snakes","2013-12-30"
"5","2013-12-30",120.397661,23.564066,"Chiayi County","Rats","2013-12-30"
"6","2013-12-30",120.362678,23.543766,"Chiayi County","Rats","2013-12-30"
"7","2013-12-30",120.362163,23.537235,"Chiayi County","Rats","2013-12-30"
"8","2013-12-30",120.35908,23.526572,"Chiayi County","Rats","2013-12-30"
"9","2013-12-30",120.362857,23.550809,"Chiayi County","Rats","2013-12-30"
"10","2013-12-30",120.35908,23.526572,"Chiayi County","Rats","2013-12-30"
"11","2013-12-30",120.866911,22.110747,"Pingtung County","Typical Snakes","2013-12-30"
"12","2013-12-30",120.397661,23.564066,"Chiayi County","Perching Birds","2013-12-30"
"13","2013-12-30",120.397661,23.564066,"Chiayi County","Perching Birds","2013-12-30"
"14","2013-12-30",120.397661,23.564066,"Chiayi County","Perching Birds","2013-12-30"
"15","2013-12-29",120.467831,23.220544,"Tainan City","Pit Vipers","2013-12-29"
"16","2013-12-29",121.796419,24.69648,"New Taipei City","Typical Owls","2013-12-29"
"17","2013-12-29",120.424998,23.537235,"Chiayi County","Coots","2013-12-29"
"18","2013-12-29",120.331232,23.192934,"Tainan City","Skinks","2013-12-29"
"19","2013-12-28",120.447314,23.56324,"Chiayi County","Rats","2013-12-28"
"20","2013-12-28",120.447314,23.56324,"Chiayi County","Rats","2013-12-28"
"21","2013-12-28",120.447314,23.56324,"Chiayi County","Perching Birds","2013-12-28"
"22","2013-12-28",120.445665,23.561607,"Chiayi County","Perching Birds","2013-12-28"
"23","2013-12-28",120.418802,23.557988,"Chiayi County","Fauvettes","2013-12-28"
"24","2013-12-28",120.415134,23.560447,"Chiayi County","Perching Birds","2013-12-28"
"25","2013-12-28",120.449503,23.583261,"Chiayi County","Skinks","2013-12-28"
"26","2013-12-28",120.449503,23.583261,"Chiayi County","Rats","2013-12-28"
"27","2013-12-28",120.445665,23.561607,"Chiayi County","Rats","2013-12-28"
"28","2013-12-28",120.449074,23.564853,"Chiayi County","Starlings","2013-12-28"
"29","2013-12-27",120.576256,22.58974,"Pingtung County","Rats","2013-12-27"
"30","2013-12-27",120.41654,23.564892,"Chiayi County","Shrews","2013-12-27"
"31","2013-12-27",120.408062,23.563377,"Chiayi County","Shrews","2013-12-27"
"32","2013-12-27",120.407665,23.563436,"Chiayi County","Shrews","2013-12-27"
"33","2013-12-27",120.407771,23.587017,"Chiayi County","Doves","2013-12-27"
"34","2013-12-27",120.403694,23.58977,"Chiayi County","Bulbuls","2013-12-27"
"35","2013-12-27",120.40981,23.585011,"Chiayi County","Perching Birds","2013-12-27"
"36","2013-12-27",120.403158,23.592641,"Chiayi County","Perching Birds","2013-12-27"
"37","2013-12-27",120.39947,23.586722,"Chiayi County","Perching Birds","2013-12-27"
"38","2013-12-27",120.40835,23.586407,"Chiayi County","Perching Birds","2013-12-27"
"39","2013-12-27",120.407771,23.587017,"Chiayi County","Perching Birds","2013-12-27"
"40","2013-12-27",120.39947,23.586722,"Chiayi County","Perching Birds","2013-12-27"
